LOADCNLN02
LOAD   608L     -1.3256-9.33090.284290.00290  0.0000 0.0000 GLOB JOIN
LOAD   611W     0.00002-6.17691.757800.14868 -0.00370.00079 GLOB JOIN
LOAD   612W     0.00002-6.17691.757700.14922 -0.00370.00081 GLOB JOIN
LOAD   613W     0.00003-6.17691.757600.14974 -0.00370.00082 GLOB JOIN
LOAD   614W     0.00003-6.17691.757500.15036 -0.00370.00080 GLOB JOIN
LOAD   621W     0.00002-6.17691.757800.14867 -0.00370.00079 GLOB JOIN
LOAD   622W     0.00002-6.17691.757700.14923 -0.00370.00079 GLOB JOIN
LOAD   623W     0.00003-6.17691.757600.14981 -0.00370.00081 GLOB JOIN
LOAD   624W     0.00003-6.17691.757500.15031 -0.00370.00080 GLOB JOIN
LOAD   632L     0.00117-196.2255.40705.46970 -0.13850.02986 GLOB JOIN
LOAD   633L     0.00117-196.2255.40505.48060 -0.13850.02967 GLOB JOIN
LOAD   636L     0.00184-222.2763.23905.62920 -0.13770.03004 GLOB JOIN
LOAD   637L     0.00184-222.2863.23805.63900 -0.13780.02973 GLOB JOIN
LOAD   P111     0.54809-43.02412.24100.00500 -0.00010.00041 GLOB JOIN
LOAD   P114     -0.5501-43.02612.24100.00843 -0.0002-0.0004 GLOB JOIN
LOAD   P115     -0.8168-43.32812.13600.12153 0.000420.00035 GLOB JOIN
LOAD   P118     0.81730-43.32812.13600.12499 0.00034-0.0005 GLOB JOIN
LOAD   P121     1.29800-3.28610.902780.00009 0.000210.00095 GLOB JOIN
LOAD   P124     -1.2977-3.28690.903180.00009 -0.0002-0.0009 GLOB JOIN
LOAD   P125     -1.2304-3.20300.76588-0.0003 0.000120.00095 GLOB JOIN
LOAD   P128     1.23050-3.20320.76653-0.0003 -0.0001-0.0009 GLOB JOIN
LOAD   P131     1.00070-2.67170.730430.00007 0.000160.00075 GLOB JOIN
LOAD   P134     -1.0009-2.67130.730460.00007 -0.0002-0.0008 GLOB JOIN
LOAD   P135     -0.9732-2.64550.62178-0.0002 0.000090.00075 GLOB JOIN
LOAD   P138     0.97298-2.64610.62207-0.0002 -0.0001-0.0008 GLOB JOIN
LOAD   P141     0.93674-2.51200.682440.00006 0.000170.00071 GLOB JOIN
LOAD   P144     -0.9368-2.51230.682070.00006 -0.0002-0.0007 GLOB JOIN
LOAD   P145     -0.9368-2.51210.56802-0.0002 0.000090.00071 GLOB JOIN
LOAD   P148     0.93694-2.51190.56829-0.0002 -0.0001-0.0007 GLOB JOIN
LOAD   P151     0.98280-2.63650.731020.00007 0.000160.00075 GLOB JOIN
LOAD   P154     -0.9826-2.63730.731030.00007 -0.0002-0.0008 GLOB JOIN
LOAD   P155     -1.0110-2.66210.62108-0.0002 0.000090.00075 GLOB JOIN
LOAD   P158     1.01060-2.66270.62147-0.0002 -0.0001-0.0008 GLOB JOIN
LOAD   P161     0.88827-2.55140.704050.00005 0.000140.00065 GLOB JOIN
LOAD   P164     -0.8886-2.55110.704170.00005 -0.0001-0.0006 GLOB JOIN
LOAD   P165     -0.8081-2.47380.59379-0.0002 0.000070.00065 GLOB JOIN
LOAD   P168     0.80804-2.47400.59402-0.0002 -0.0001-0.0006 GLOB JOIN
LOAD   P171     0.41558-1.12420.314300.00001 0.000060.00025 GLOB JOIN
LOAD   P174     -0.4158-1.12420.314260.00001 -0.0001-0.0003 GLOB JOIN
LOAD   P175     -0.2963-0.98110.25660-0.0001 0.000020.00025 GLOB JOIN
LOAD   P178     0.29609-0.98150.25669-0.0001  0.0000-0.0003 GLOB JOIN
LOAD   P1A1     -1.2990-5.23131.55080-0.0001 0.000070.00019 GLOB JOIN
LOAD   P1A4     1.29920-5.23231.55090-0.0001 -0.0001-0.0002 GLOB JOIN
LOAD   P1A5     1.22080-5.36841.57860-0.0001  0.00000.00019 GLOB JOIN
LOAD   P1A8     -1.2206-5.36851.57770-0.0001 0.00002-0.0002 GLOB JOIN
LOAD   P1B1     -2.1536-9.56562.85990-0.0001 0.000100.00021 GLOB JOIN
LOAD   P1B4     2.15280-9.56522.85980-0.0001 -0.0001-0.0002 GLOB JOIN
LOAD   P1B5     2.23350-9.46892.88480-0.0002  0.00000.00021 GLOB JOIN
LOAD   P1B8     -2.2332-9.46802.88370-0.0002 0.00005-0.0002 GLOB JOIN
LOAD   P1C1     -1.9426-8.34192.51000-0.0001 0.000070.00004 GLOB JOIN
LOAD   P1C4     1.94180-8.34102.51000-0.0001 -0.0001 0.0000 GLOB JOIN
LOAD   P1C5     1.94740-8.34132.50460-0.0002 -0.00010.00004 GLOB JOIN
LOAD   P1C8     -1.9477-8.34192.50470-0.0002 0.00007 0.0000 GLOB JOIN
LOAD   P1D1     -1.8306-7.88252.40220-0.0001 0.000080.00003 GLOB JOIN
LOAD   P1D4     1.82990-7.88192.40220-0.0001 -0.0001 0.0000 GLOB JOIN
LOAD   P1D5     1.83080-7.88222.39730-0.0002 -0.00010.00003 GLOB JOIN
LOAD   P1D8     -1.8304-7.88232.39720-0.0002 0.00009 0.0000 GLOB JOIN
LOAD   P1E1     -1.9273-8.32272.51070-0.0001 0.000070.00004 GLOB JOIN
LOAD   P1E4     1.92740-8.32382.51000-0.0001 -0.0001 0.0000 GLOB JOIN
LOAD   P1E5     1.92280-8.32422.50500-0.0002 -0.00010.00004 GLOB JOIN
LOAD   P1E8     -1.9228-8.32442.50440-0.0002 0.00007 0.0000 GLOB JOIN
LOAD   P1F1     -2.2291-9.92442.95500-0.0002  0.0000-0.0005 GLOB JOIN
LOAD   P1F4     2.22990-9.92642.95520-0.0002 0.000020.00049 GLOB JOIN
LOAD   P1F5     2.50320-9.66642.91950-0.0001 -0.0002-0.0005 GLOB JOIN
LOAD   P1F8     -2.5034-9.66732.91870-0.0001 0.000180.00049 GLOB JOIN
LOAD   P1G1     -1.3948-5.11251.64570-0.0002 -0.0001-0.0005 GLOB JOIN
LOAD   P1G4     1.39390-5.11141.64630-0.0002 0.000050.00051 GLOB JOIN
LOAD   P1G5     1.11870-5.33061.61330 0.0000 -0.0001-0.0005 GLOB JOIN
LOAD   P1G8     -1.1189-5.33061.61280 0.0000 0.000150.00051 GLOB JOIN
LOAD   P211     -0.5763-42.99112.23400.00465 -0.0003-0.0007 GLOB JOIN
LOAD   P214     0.57411-42.99212.23300.00877 0.000030.00069 GLOB JOIN
LOAD   P215     0.87339-43.27812.13000.12123 0.00024-0.0009 GLOB JOIN
LOAD   P218     -0.8742-43.27912.12800.12531 0.000500.00070 GLOB JOIN
LOAD   P221     -1.3725-3.21460.891450.00008 -0.0002-0.0010 GLOB JOIN
LOAD   P224     1.37250-3.21450.891410.00008 0.000220.00100 GLOB JOIN
LOAD   P225     1.29130-3.14040.75548-0.0003 -0.0001-0.0010 GLOB JOIN
LOAD   P228     -1.2929-3.13810.75444-0.0003 0.000140.00100 GLOB JOIN
LOAD   P231     -1.0544-2.61750.720740.00006 -0.0002-0.0008 GLOB JOIN
LOAD   P234     1.05450-2.61740.720820.00006 0.000180.00080 GLOB JOIN
LOAD   P235     1.02680-2.59190.61286-0.0002 -0.0001-0.0008 GLOB JOIN
LOAD   P238     -1.0272-2.59140.61278-0.0002 0.000110.00080 GLOB JOIN
LOAD   P241     -0.9901-2.45920.671870.00005 -0.0002-0.0008 GLOB JOIN
LOAD   P244     0.99038-2.45860.671830.00005 0.000180.00075 GLOB JOIN
LOAD   P245     0.99021-2.45840.55888-0.0002 -0.0001-0.0008 GLOB JOIN
LOAD   P248     -0.9898-2.45910.55882-0.0002 0.000100.00075 GLOB JOIN
LOAD   P251     -1.0370-2.58260.721560.00006 -0.0002-0.0008 GLOB JOIN
LOAD   P254     1.03690-2.58280.721360.00006 0.000180.00080 GLOB JOIN
LOAD   P255     1.06310-2.61110.61173-0.0002 -0.0001-0.0008 GLOB JOIN
LOAD   P258     -1.0638-2.61020.61174-0.0002 0.000110.00080 GLOB JOIN
LOAD   P261     -0.9419-2.49760.694650.00004 -0.0002-0.0007 GLOB JOIN
LOAD   P264     0.94156-2.49810.694710.00004 0.000160.00069 GLOB JOIN
LOAD   P265     0.86244-2.41880.58418-0.0002 -0.0001-0.0007 GLOB JOIN
LOAD   P268     -0.8625-2.41830.58500-0.0002 0.000090.00069 GLOB JOIN
LOAD   P271     -0.4525-1.09280.309290.00001 -0.0001-0.0003 GLOB JOIN
LOAD   P274     0.45226-1.09280.309400.00001 0.000070.00027 GLOB JOIN
LOAD   P275     0.31293-0.95960.25192-0.0001  0.0000-0.0003 GLOB JOIN
LOAD   P278     -0.3122-0.96110.25262-0.0001 0.000030.00027 GLOB JOIN
LOAD   P2A1     1.33950-5.25971.55350-0.0001 -0.0001-0.0002 GLOB JOIN
LOAD   P2A4     -1.3395-5.25931.55310-0.0001 0.000090.00024 GLOB JOIN
LOAD   P2A5     -1.2089-5.36841.57990-0.0001 0.00000-0.0002 GLOB JOIN
LOAD   P2A8     1.21010-5.37021.58110-0.0001  0.00000.00024 GLOB JOIN
LOAD   P2B1     2.16100-9.57572.86230-0.0001 -0.0001-0.0003 GLOB JOIN
